ID,Plant_Name,Growth,Soil,Sunlight,Watering,Suggestions,Photo
1,Авокадо,умеренный,песчаный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно влажную почву. Не допускайте полного пересыхания грунта.,Авокадо.jpg
2,Агава,медленный,хорошо дренированный,полный солнечный свет,редкий (1 раз в 1-3 недели),Полная просушка грунта между поливами. Устойчива к длительной засухе.,Агава.jpg
3,Агератум,быстрый,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Полив после подсыхания верхнего слоя почвы. Не допускайте переувлажнения.,Агератум.jpg
4,Адиантум,медленный,влажный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Постоянно влажный грунт. Не переносит пересыхания земляного кома.,Адиантум.jpg
5,Азалия,умеренный,кислый,частичный солнечный свет,регулярный (1-2 раза в неделю),"Не переносит пересыхания земляного кома. Нуждается в постоянно влажном, но не заболоченном грунте.",Азалия.webp
6,Акалифа,умеренный,песчаный,полный солнечный свет,регулярный (1-2 раза в неделю),Поддерживайте стабильную влажность почвы без застоя воды.,Акалифа.jfif
7,Алиссум,быстрый,песчаный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Засухоустойчив. Полив требуется при подсыхании почвы. Избегайте переувлажнения.,Алиссум.jpg
8,Алоэ вера,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Между поливами почва должна полностью просыхать. Умеренный полив зимой.,Алоэ вера.jpg
9,Альстромерия,медленный,суглинистый,частичный солнечный свет,регулярный (1-2 раза в неделю),Регулярный полив для поддержания легкой влажности грунта.,Альстромерия.jpg
10,Амариллис,умеренный,песчаный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Активный рост: полив после просыхания верхнего слоя. Покой: без полива.,Амариллис.jpeg
11,Анемон,умеренный,хорошо дренированный,частичный солнечный свет,регулярный (1-2 раза в неделю),В период вегетации почва не должна пересыхать. Требует постоянной легкой влажности.,Анемон.jpg
12,Анигозантос,умеренный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Очень засухоустойчив. Полив только после полной просушки почвы.,Анигозантос.jpg
13,Антуриум,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхней трети субстрата. Важен хороший дренаж.,Антуриум.jfif
14,Анютины глазки,умеренный,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),Постоянно влажная почва. При недостатке влаги теряют декоративность.,Анютины глазки.jpg
15,Астра,умеренный,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),Предпочитает равномерно увлажненную почву. Не допускайте пересыхания грунта.,Астра.jpeg
16,Африканская фиалка,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя грунта. Избегайте попадания воды на листья.,Африканская фиалка.jpg
17,Базилик,быстрый,суглинистый,полный солнечный свет,регулярный (1-2 раза в неделю),Регулярный полив для поддержания постоянной влажности почвы.,Базилик.jpg
18,Бамбук,умеренный,кислый,частичный солнечный свет,регулярный (1-2 раза в неделю),"Нуждается в обильном поливе, особенно в период активного роста. Не допускайте пересыхания почвы.",Бамбук.jpg
19,Барвинок,умеренный,песчаный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Устойчив к засухе. Полив требуется только при длительном отсутствии дождей.,Барвинок.jpg
20,Бархатцы,быстрый,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),"Предпочитают нечатый, но обильный полив. Почва между поливами должна просыхать.",Бархатцы.jpg
21,Бегония,умеренный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Постоянно слегка влажная почва. Не допускайте пересыхания и переувлажнения.,Бегония.jfif
22,Бромелия,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),"Полив в розетку листьев, поддерживая в ней уровень воды. Грунт между поливами должен просыхать.",Бромелия.jpg
23,Бугенвиллея,быстрый,песчаный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Полив после полной просушки грунта. Избыток влаги снижает цветение.,Бугенвиллея.jpg
24,Ваниль,медленный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Постоянно влажный субстрат и высокая влажность воздуха.,Ваниль.jpg
25,Василек,умеренный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Засухоустойчив. Полив требуется только в периоды длительной засухи.,Василек.jpg
26,Водяная лилия,медленный,суглинистый,полный солнечный свет,постоянно в воде,Водное растение. Корневище должно всегда находиться в воде.,Водяная лилия.jpg
27,Газания,быстрый,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Очень засухоустойчива. Полив требуется только в экстремально засушливые периоды.,Газания.jpg
28,Гардения,медленный,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),Почва должна быть всегда слегка влажной. Используйте мягкую воду.,Гардения.jpg
29,Гвоздика,умеренный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),"Не любит переувлажнения. Полив после того, как подсохнет верхний слой почвы.",Гвоздика.jfif
30,Георгин,умеренный,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),"Нуждается в регулярном поливе, особенно в жаркую погоду. Почва должна быть влажной на глубину.",Георгин.jpg
31,Герань,умеренный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),"Полив после просыхания верхнего слоя почвы. Легче переносит засуху, чем перелив.",Герань.jfif
32,Гиацинт,умеренный,суглинистый,полный солнечный свет,регулярный (1-2 раза в неделю),Во время роста и цветения грунт должен быть всегда слегка влажным. После цветения полив сокращают.,Гиацинт.jpg
33,Гибискус,быстрый,суглинистый,полный солнечный свет,регулярный (1-2 раза в неделю),Обильный полив в период вегетации. Почва должна быть равномерно влажной.,Гибискус.jpg
34,Гортензия,умеренный,кислый,полный солнечный свет,регулярный (1-2 раза в неделю),"Влаголюбива. Требует частого и обильного полива, особенно в жару.",Гортензия.webp
35,Диффенбахия,медленный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхней трети горшка. Зимой полив сокращают.,Диффенбахия.jpg
36,Драцена,медленный,песчаный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),"Полив после того, как почва просохнет на половину глубины горшка.",Драцена.jpg
37,Жасмин,умеренный,суглинистый,полный солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно слегка влажную почву. Не допускайте пересыхания.,Жасмин.webp
38,Замиокулькас,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),"Крайне засухоустойчив. Полив редкий, после почти полной просушки земляного кома.",Замиокулькас.jpg
39,Зефирантес,быстрый,кислый,полный солнечный свет,умеренный (1 раз в 7-14 дней),Полив в период роста после просыхания верхнего слоя почвы.,Зефирантес.webp
40,Ирис,умеренный,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),"Лучше переносит засуху, чем перелив. Полив особенно важен во время цветения и в засушливые периоды.",Ирис.jpg
41,Кактус,медленный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),"Обильный, но редкий полив. Зимой практически не поливать.",Кактус.jpg
42,Каланхоэ,умеренный,хорошо дренированный,полный солнечный свет,редкий (1 раз в 1-3 недели),Полив после полного просыхания грунта. Устойчиво к засухе.,Каланхоэ.jpg
43,Калатея,умеренный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно слегка влажную почву. Чувствительна к хлору в воде.,Калатея.jpg
44,Калла,умеренный,влажный,частичный солнечный свет,регулярный (1-2 раза в неделю),В период вегетации почва должна быть постоянно влажной.,Калла.jpg
45,Камелия,медленный,кислый,частичный солнечный свет,регулярный (1-2 раза в неделю),"Нуждается в постоянно влажной, хорошо дренированной почве. Не допускайте полного пересыхания земляного кома.",Камелия.jpg
46,Кислица,быстрый,суглинистый,полный солнечный свет,умеренный (1 раз в 7-14 дней),Засухоустойчив. Полив требуется только в длительные засушливые периоды.,Кислица.jpg
47,Кливия,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Требует ярко выраженного периода покоя с редким поливом и прохладным содержанием.,Кливия.jpg
48,Колеус,умеренный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно влажную почву. При пересушке теряет тургор.,Колеус.webp
49,Колокольчик,медленный,влажный,частичный солнечный свет,умеренный (1 раз в 7-14 дней),Не требует обильного полива. Достаточно поливать при подсыхании верхнего слоя почвы.,Колокольчик.jpg
50,Крестовник роули,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),"Засухоустойчив. Полив после того, как почва полностью просохнет, а ""горошины"" сморщатся.",Крестовник роули.jpg
51,Кротон,медленный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Почва должна быть равномерно влажной. Избегайте полного пересыхания грунта.,Кротон.jfif
52,Ландыш,медленный,кислый,частичный солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно влажную почву. В засуху требует регулярного полива.,Ландыш.jpg
53,Лилия,медленный,хорошо дренированный,частичный солнечный свет,регулярный (1-2 раза в неделю),"Предпочитает богатую, постоянно влажную почву. Не допускайте пересыхания.",Лилия.jpg
54,Лобелия,умеренный,влажный,частичный солнечный свет,регулярный (1-2 раза в неделю),Требует постоянно влажного грунта. При пересушке цветение прекращается.,Лобелия.webp
55,Лотос,умеренный,суглинистый,полный солнечный свет,постоянно в воде,Является водным растением. Корневище должно всегда находиться в воде или в полностью насыщенном влагой грунте.,Лотос.jpg
56,Маранта,умеренный,влажный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Почва должна быть постоянно влажной. Используйте мягкую воду комнатной температуры.,Маранта.webp
57,Мимоза,быстрый,суглинистый,полный солнечный свет,регулярный (1-2 раза в неделю),Предпочитает постоянно влажную почву. Не допускайте пересыхания грунта.,Мимоза.jpg
58,Молочай,быстрый,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Большинство видов засухоустойчивы. Полив после полного просыхания грунта.,Молочай.jpg
59,Монстера,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),"Полив, когда верхние 3-5 см почвы просохнут. Чувствительна к переливу.",Монстера.jfif
60,Нарцисс,умеренный,хорошо дренированный,полный солнечный свет,регулярный (1-2 раза в неделю),Во время роста и цветения почва должна быть влажной. После цветения полив сокращают.,Нарцисс.jpg
61,Настурция,быстрый,хорошо дренированный,полный солнечный свет,умеренный (1 раз в 7-14 дней),Предпочитает умеренный полив. При избытке влаги активно растут листья в ущерб цветению.,Настурция.jpg
62,Неорегелия,умеренный,влажный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),"Как и другие бромелиевые, полив в розетку. Субстрат между поливами должен просыхать.",Неорегелия.jpg
63,Нефритовое дерево,медленный,песчаный,непрямой солнечный свет,редкий (1 раз в 1-3 недели),Полив только после полного просыхания почвы. Засухоустойчиво.,Нефритовое дерево.jpg
64,Орхидея,умеренный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя субстрата. Не переносит переувлажнения.,Орхидея.webp
65,Очиток,медленный,песчаный,полный солнечный свет,редкий (1 раз в 1-3 недели),Крайне засухоустойчив. Избыток влаги губителен. Полив только после долгого отсутствия дождей.,Очиток.jpg
66,Папоротник,умеренный,хорошо дренированный,непрямой солнечный свет,регулярный (1-2 раза в неделю),Любит влагу. Почва всегда должна быть слегка влажной. Высокая влажность воздуха.,Папоротник.jpeg
67,Пеперомия,медленный,хорошо дренированный,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после основательной просушки грунта. Чувствительна к корневой гнили.,Пеперомия.jpg
68,Пилея,умеренный,суглинистый,непрямой солнечный свет,умеренный (1 раз в 7-14 дней),Полив после просыхания верхнего слоя грунта на 2-3 см. Не терпит переувлажнения.,Пилея.jpg
69,Питахайя,умеренный,хорошо дренированный,полный солнечный свет,редкий (1 раз в 1-3 недели),"Как кактус, требует редкого полива после полного просыхания грунта.",Питахайя.jpg
